"User","ID","Display Name","Discriminator","Nickname","Mention","Color","Avatar URL","Joined Date","Created Date","Boosted Date","Top Role","Admin","Add Reactions","Admin","Attach Files","Ban Members","Change Nickname","Connect to Voice","Create Invites","Deafen Others","Embed Links","External Emojis","Kick Members","Manage Channels","Manage Emojis","Manage Server","Manage Messages","Manage Nicknames","Manage Roles","Manage Webhooks","Mention everyone","Move Members","Mute Members","Priority Speaker","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","View Audit Log","View Server Insights","@everyone","NFTfi","MemberList","Apollo","artbot","Bot Magician","Server Booster","Artist","Curated Artist","Curator","Mod"
"NFTCOLLΞCTIONS#0234","452857600246153229","NFTCOLLΞCTIONS","#0234","","<@452857600246153229>","#000000","https://cdn.discordapp.com/avatars/452857600246153229/be29208140fcefe368940e1569ddfdc5.webp?size=1024","2021-04-03","2018-06-03","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"FMM#2159","770587608139956247","FMM","#2159","","<@770587608139956247>","#000000","https://cdn.discordapp.com/avatars/770587608139956247/46b15bf44128b098b8b16a7a5b0d9c33.webp?size=1024","2021-03-06","2020-10-27","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Autobender#9329","540115923366051850","Autobender","#9329","","<@540115923366051850>","#000000","https://cdn.discordapp.com/embed/avatars/4.png","2021-03-15","2019-01-30","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Tudas#5072","289974154696851462","Tudas","#5072","","<@289974154696851462>","#000000","https://cdn.discordapp.com/avatars/289974154696851462/5ca1ef04f4744929aca8a582051f2691.webp?size=1024","2021-03-08","2017-03-11","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"DappPunk#5062","831359156006682674","DappPunk","#5062","","<@831359156006682674>","#000000","https://cdn.discordapp.com/avatars/831359156006682674/ad192d3616d92e6c90e5cbdba9cec937.webp?size=1024","2021-04-30","2021-04-13","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"GeeksGambit#6034","545597557468823552","GeeksGambit","#6034","","<@545597557468823552>","#000000","https://cdn.discordapp.com/avatars/545597557468823552/a_b0c4d03066b63a2263ade95ca8c98b2b.gif?size=1024","2021-04-05","2019-02-14","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"G4SP4RD#9388","698913390273495044","G4SP4RD","#9388","","<@698913390273495044>","#000000","https://cdn.discordapp.com/avatars/698913390273495044/042d85eda92359617439241392945ee3.webp?size=1024","2021-02-06","2020-04-12","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Finance Astronaut#4222","748705613537869986","Finance Astronaut","#4222","","<@748705613537869986>","#000000","https://cdn.discordapp.com/avatars/748705613537869986/12d70c91cfb693f838a400df98ab6384.webp?size=1024","2021-04-13","2020-08-28","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"strangeprocess.eth#8291","624985706808344588","strangeprocess.eth","#8291","","<@624985706808344588>","#000000","https://cdn.discordapp.com/avatars/624985706808344588/922d69b0003fb62c24c12fdec0a971a4.webp?size=1024","2021-04-27","2019-09-21","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"JPΞG Digital#6132","776198221176373259","JPΞG Digital","#6132","","<@776198221176373259>","#000000","https://cdn.discordapp.com/avatars/776198221176373259/b71a85970764e9bdd814f8ba54fe37f5.webp?size=1024","2021-01-14","2020-11-11","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
